Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs
213,161,77,30,369,42
43,87,38,59,284,320
97,68,105,232,308,14
97,153,94,41,367,22
63,97,39,292,183,4
99,91,106,83,292,7
69,66,76,46,216,182
49,83,93,247,100,49
133,37,139,145,112,35
78,94,55,148,208,15
81,68,60,39,182,45
64,51,75,75,142,30
45,47,41,61,218,11
51,92,33,139,90,4
29,50,26,45,166,61
30,14,113,71,137,0
65,67,42,12,154,16
43,91,37,27,145,3
37,40,32,128,105,1
18,23,19,7,98,167
49,30,24,60,148,14
12,19,10,5,97,179
33,54,25,16,153,23
48,40,18,13,128,45
51,37,13,28,134,24
16,19,39,96,97,2
18,21,20,10,148,47
39,54,29,33,106,0
18,19,16,77,128,0
54,58,38,5,99,3
12,25,16,55,145,2
10,18,60,69,89,0
9,66,52,3,48,39
32,45,16,15,88,20
15,17,5,2,88,87
13,19,5,4,76,95
12,24,14,10,144,2
45,32,23,8,94,1
9,18,4,11,72,86
49,30,35,10,56,16
34,22,10,7,117,6
36,22,15,13,102,5
24,32,17,1,119,0
3,17,66,45,61,0
10,17,44,49,66,0
39,36,30,0,77,0
19,21,13,3,85,39
19,32,15,7,105,0
8,18,72,0,51,28
34,26,9,7,89,8
33,57,8,0,65,7
6,17,59,35,47,0
10,16,4,2,80,50
23,25,9,9,87,9
18,34,28,34,43,1
21,23,9,0,89,15
24,33,10,0,82,7
7,14,16,0,33,84
24,47,14,53,13,2
18,28,15,4,85,2
38,40,10,2,61,0
27,14,9,2,93,5
9,19,11,11,97,2
32,33,8,2,56,17
26,17,10,1,87,7
16,18,11,1,84,12
19,16,12,0,89,2
18,5,8,5,97,2
4,8,5,2,59,51
18,24,6,0,78,3
12,34,3,5,69,3
24,3,8,6,82,2
18,6,8,1,83,7
18,22,6,1,53,21
15,19,8,2,65,12
18,24,8,0,69,1
10,19,6,0,80,3
11,11,6,21,68,0
15,17,9,0,64,11
16,14,8,1,73,3
7,13,12,6,40,37
7,10,29,20,48,0
16,15,9,2,67,4
15,15,9,0,71,3
9,22,7,4,69,0
40,35,4,12,16,4
9,13,8,0,76,3
8,11,2,2,52,33
0,35,3,0,37,33
11,19,3,0,73,1
7,13,2,1,13,70
12,17,7,0,68,2
19,27,6,0,53,0
18,20,5,0,59,2
15,33,5,0,47,2
30,38,17,4,11,1
15,13,6,0,58,9
7,13,4,2,51,23
24,20,7,3,43,2
16,22,7,0,51,1
7,12,15,0,29,33
10,8,8,2,67,0
10,30,2,1,51,0
2,13,16,14,49,0
5,9,3,2,51,19
5,9,13,0,60,1
8,5,7,5,61,0
6,9,10,8,52,0
7,12,0,0,35,30
4,11,1,0,61,7
10,18,2,1,21,32
5,6,4,0,29,40
9,5,6,1,63,0
10,11,8,0,43,11
10,20,4,5,37,7
11,6,1,0,63,2
14,18,2,0,21,25
3,5,7,4,61,0
13,17,3,1,44,1
8,13,5,0,53,0
11,10,6,0,51,1
13,22,4,0,26,12
4,6,6,0,47,14
5,13,1,0,13,43
6,21,7,6,33,1
4,4,14,3,47,1
17,27,1,1,24,2
11,15,1,0,41,1
